op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
MEAN,544,144.0,0.0098646525,-0.00022826761,0.019385727,0.000100520716,0.0338291,-121,model/tf.math.reduce_mean_3/Mean,0.2963721173431539
DEPTHWISE_CONV_2D,468,451584.0,0.1173038,0.0023113703,0.62096053,0.013766727,0.3964016,-24,model/tf.math.add_11/Add;model/tf.compat.v1.nn.depthwise_conv2d_2/depthwise;Const_1441,0.29599198511003677
MUL,732,20.0,0.007340556,-0.0016201225,0.012177191,5.9764694e-05,0.026118992,-117,model/tf.math.multiply_75/Mul,0.29598243432546867
LOGISTIC,564,144.0,0.0011473922,6.28089e-05,0.0019153956,1.3298825e-06,0.00390625,-128,model/tf.math.sigmoid_15/Sigmoid,0.29522056080158104
LOGISTIC,684,240.0,0.0011505465,5.0335027e-05,0.0019424462,1.3274829e-06,0.00390625,-128,model/tf.math.sigmoid_23/Sigmoid,0.2949540969954478
MEAN,1256,1152.0,0.007640779,-1.712324e-05,0.03898127,5.8451595e-05,0.025922254,-117,model/tf.math.reduce_mean_15/Mean,0.29493439427400575
MUL,968,28.0,0.008684651,-0.0010487501,0.014832271,7.986897e-05,0.030337797,-119,model/tf.math.multiply_122/Mul,0.29458118229832436
CONV_2D,932,131712.0,0.033508487,-7.752219e-05,0.11192955,0.001122839,0.113751054,6,model/tf.math.add_60/Add;model/tf.nn.convolution_40/convolution;Const_641,0.2945800387186658
LOGISTIC,700,94080.0,0.0011502547,-2.5989273e-05,0.0038951223,1.323817e-06,0.00390625,-128,model/tf.math.sigmoid_24/Sigmoid,0.29454655134969754
CONV_2D,1272,1152.0,0.01754477,1.2618593e-05,0.055981483,0.00030882467,0.05968563,2,model/tf.math.add_96/Add;model/tf.nn.convolution_62/convolution;Const_71,0.2944328146658941
CONV_2D,808,15680.0,0.13400687,0.0023114465,0.35072678,0.01796505,0.45537108,23,model/tf.math.add_45/Add;model/tf.nn.convolution_31/convolution;Const_861,0.29433965020979125
LOGISTIC,860,480.0,0.0011480766,-3.3202283e-05,0.0019468826,1.3217536e-06,0.00390625,-128,model/tf.math.sigmoid_35/Sigmoid,0.29431691070952753
LOGISTIC,800,480.0,0.001146291,8.177352e-06,0.0019514858,1.3170547e-06,0.00390625,-128,model/tf.math.sigmoid_31/Sigmoid,0.2937932892684923
MUL,688,47040.0,0.015187971,0.00016161174,0.031220583,0.00023072874,0.051807504,-123,model/tf.math.multiply_67/Mul,0.2931960924699295
LOGISTIC,712,94080.0,0.0011421979,7.6204844e-05,0.00390625,1.3105325e-06,0.00390625,-128,model/tf.math.sigmoid_25/Sigmoid,0.29306493805980954
CONV_2D,696,94080.0,0.047055334,0.0001988608,0.190619,0.0022143645,0.16057771,12,model/tf.math.add_34/Add;model/tf.nn.convolution_24/convolution;Const_1041,0.29304835984521677
CONV_2D,756,94080.0,0.044870015,-3.2665608e-05,0.1411661,0.002013358,0.15318303,10,model/tf.math.add_41/Add;model/tf.nn.convolution_28/convolution;Const_941,0.2929205538460156
CONV_2D,816,94080.0,0.055388976,-0.00028225168,0.19573693,0.0030680744,0.18928291,-10,model/tf.math.add_48/Add;model/tf.nn.convolution_32/convolution;Const_841,0.29263181393136783
DEPTHWISE_CONV_2D,588,188160.0,0.12788786,0.00021475792,0.4091334,0.016355606,0.43738243,-21,model/tf.math.add_23/Add;model/tf.compat.v1.nn.depthwise_conv2d_4/depthwise;Const_1231,0.29239637687641856
LOGISTIC,1276,1152.0,0.0011402711,4.510252e-05,0.0020562722,1.3035033e-06,0.00390625,-128,model/tf.math.sigmoid_63/Sigmoid,0.29227793667808727
CONV_2D,1284,15680.0,0.09184792,-8.7718916e-05,0.22626041,0.008436818,0.31426743,-4,model/tf.math.add_97/Add;model/tf.nn.convolution_63/convolution;Const_51,0.2922738539643178
DEPTHWISE_CONV_2D,1244,56448.0,0.07884226,-3.3567205e-05,0.28869498,0.006216245,0.26990238,-32,model/tf.math.add_94/Add;model/tf.compat.v1.nn.depthwise_conv2d_15/depthwise;Const_111,0.2921173466881239
CONV_2D,872,131712.0,0.04228362,0.00011495628,0.1419597,0.0017879377,0.14475128,-7,model/tf.math.add_53/Add;model/tf.nn.convolution_36/convolution;Const_741,0.29211494603082794
DEPTHWISE_CONV_2D,828,94080.0,0.110978335,-0.00047725614,0.69326,0.012320118,0.38010755,-11,model/tf.math.add_49/Add;model/tf.compat.v1.nn.depthwise_conv2d_8/depthwise;Const_821,0.2920121606527496
DEPTHWISE_CONV_2D,532,112896.0,0.28449178,-0.015964907,0.6459598,0.08119617,0.9760494,-32,model/tf.math.add_18/Add;model/tf.compat.v1.nn.depthwise_conv2d_3/depthwise;Const_1331,0.29194159287809845
CONV_2D,1052,56448.0,0.038244072,-0.00016162709,0.11245128,0.0014626705,0.13100635,-18,model/tf.math.add_72/Add;model/tf.nn.convolution_48/convolution;Const_431,0.29193146342689064
CONV_2D,680,240.0,0.005747601,-2.070229e-05,0.01010484,3.3149627e-05,0.01972702,-46,model/tf.math.add_32/Add;model/tf.nn.convolution_22/convolution;Const_1081,0.29186219085064824
MUL,776,94080.0,0.09706316,-0.048782423,0.17794342,0.0118025085,0.37224984,-127,model/tf.math.multiply_85/Mul,0.29184525802770034
LOGISTIC,1056,56448.0,0.0011275614,-0.00016662762,0.0036023313,1.2992164e-06,0.00390625,-128,model/tf.math.sigmoid_48/Sigmoid,0.29179692594405443
CONV_2D,924,21952.0,0.11383025,0.0002522665,0.27509087,0.012958267,0.39022756,10,model/tf.math.add_57/Add;model/tf.nn.convolution_39/convolution;Const_661,0.29171282542153193
CONV_2D,636,188160.0,0.056310076,0.00013101075,0.26025632,0.003170887,0.19310915,4,model/tf.math.add_29/Add;model/tf.nn.convolution_20/convolution;Const_1151,0.2916000072869788
